date,FLEXCPIM159SFRBATL
1968-01-01,3.082131942
1968-02-01,3.260451426
1968-03-01,3.56978084
1968-04-01,3.83892135
1968-05-01,3.964492123
1968-06-01,3.782851512
1968-07-01,3.580352432
1968-08-01,3.518291182
1968-09-01,3.491626657
1968-10-01,3.874511862
1968-11-01,3.832488685
1968-12-01,3.523866782
1969-01-01,3.312046324
1969-02-01,3.449107022
1969-03-01,3.927143372
1969-04-01,4.105241827
1969-05-01,3.923450007
1969-06-01,4.473383178
1969-07-01,4.471809493
1969-08-01,4.379471451
1969-09-01,4.406471917
1969-10-01,4.287839814
1969-11-01,4.765655303
1969-12-01,5.694143519
1970-01-01,5.519851189
1970-02-01,5.473367342
1970-03-01,4.557341785
1970-04-01,4.655881824
1970-05-01,4.901780565
1970-06-01,4.142468405
1970-07-01,4.079725149
1970-08-01,3.671217739
1970-09-01,3.847394262
1970-10-01,3.998712771
1970-11-01,3.537052521
1970-12-01,3.181287817
1971-01-01,3.081741368
1971-02-01,2.774636782
1971-03-01,3.355442562
1971-04-01,3.212934299
1971-05-01,3.3155081
1971-06-01,3.619803469
1971-07-01,3.487344162
1971-08-01,3.70810288
1971-09-01,3.022103613
1971-10-01,2.773017958
1971-11-01,2.567226759
1971-12-01,2.834258751
1972-01-01,2.871570661
1972-02-01,3.48496152
1972-03-01,3.093088233
1972-04-01,2.725225275
1972-05-01,2.576355985
1972-06-01,2.184495828
1972-07-01,2.461516226
1972-08-01,2.451270034
1972-09-01,3.496408922
1972-10-01,3.578236767
1972-11-01,4.09554343
1972-12-01,3.792685312
1973-01-01,4.822402215
1973-02-01,5.325041683
1973-03-01,7.029577108
1973-04-01,8.38426697
1973-05-01,8.966047111
1973-06-01,9.779518415
1973-07-01,9.427476081
1973-08-01,13.067634162
1973-09-01,11.694801056
1973-10-01,11.939775902
1973-11-01,12.734722589
1973-12-01,13.519947714
1974-01-01,14.124829647
1974-02-01,15.084217467
1974-03-01,14.812943276
1974-04-01,13.749413193
1974-05-01,14.105177775
1974-06-01,13.750108782
1974-07-01,13.959788517
1974-08-01,11.681555494
1974-09-01,13.65081776
1974-10-01,13.990834529
1974-11-01,13.748569714
1974-12-01,13.296895329
1975-01-01,12.06516148
1975-02-01,10.068484483
1975-03-01,8.671865813
1975-04-01,8.240224754
1975-05-01,7.375012845
1975-06-01,7.83183947
1975-07-01,9.336078532
1975-08-01,7.969821064
1975-09-01,7.159809509
1975-10-01,6.963257544
1975-11-01,6.460170806
1975-12-01,6.293489864
1976-01-01,5.736052879
1976-02-01,5.07469032
1976-03-01,4.701853951
1976-04-01,4.874615361
1976-05-01,5.061991873
1976-06-01,4.450317146
1976-07-01,3.231336114
1976-08-01,3.585104649
1976-09-01,3.466136534
1976-10-01,3.308764079
1976-11-01,3.107228905
1976-12-01,3.101237835
1977-01-01,3.983178825
1977-02-01,5.902479774
1977-03-01,6.708036173
1977-04-01,7.288493557
1977-05-01,6.998041182
1977-06-01,6.964401963
1977-07-01,6.721373589
1977-08-01,6.341432996
1977-09-01,5.997061779
1977-10-01,5.765041658
1977-11-01,6.369231417
1977-12-01,6.068243364
1978-01-01,5.796114058
1978-02-01,4.723620076
1978-03-01,5.075488673
1978-04-01,5.400962615
1978-05-01,6.327832438
1978-06-01,7.075278284
1978-07-01,7.336706359
1978-08-01,7.648646752
1978-09-01,8.02828978
1978-10-01,8.661291965
1978-11-01,8.436095702
1978-12-01,8.885109965
1979-01-01,9.479419874
1979-02-01,10.367641314
1979-03-01,10.938447659
1979-04-01,11.481517317
1979-05-01,11.911202128
1979-06-01,12.335065884
1979-07-01,13.179221601
1979-08-01,13.604015889
1979-09-01,14.176987973
1979-10-01,14.016793513
1979-11-01,13.957841515
1979-12-01,14.483477578
1980-01-01,15.542443699
1980-02-01,15.72874421
1980-03-01,16.230985586
1980-04-01,15.095209778
1980-05-01,14.03566462
1980-06-01,12.829925593
1980-07-01,12.323911876
1980-08-01,12.667871765
1980-09-01,12.538817591
1980-10-01,12.505906088
1980-11-01,12.858342329
1980-12-01,12.44934665
1981-01-01,11.647756937
1981-02-01,12.020478402
1981-03-01,11.185435248
1981-04-01,10.790829617
1981-05-01,10.366626909
1981-06-01,10.392960719
1981-07-01,10.253032107
1981-08-01,9.637841209
1981-09-01,9.252345545
1981-10-01,8.850685134
1981-11-01,8.284597543
1981-12-01,7.69822539
1982-01-01,6.69389774
1982-02-01,5.002873606
1982-03-01,3.744349117
1982-04-01,2.888515589
1982-05-01,3.50364702
1982-06-01,4.764879193
1982-07-01,4.528950582
1982-08-01,3.837977539
1982-09-01,3.322300731
1982-10-01,3.40265577
1982-11-01,3.157538735
1982-12-01,2.753128911
1983-01-01,2.417341952
1983-02-01,1.928830501
1983-03-01,2.094534304
1983-04-01,3.73706078
1983-05-01,3.717163055
1983-06-01,2.356411437
1983-07-01,2.359633378
1983-08-01,2.860538913
1983-09-01,2.973850629
1983-10-01,2.711802147
1983-11-01,2.609580893
1983-12-01,2.905302388
1984-01-01,3.791339731
1984-02-01,4.799593314
1984-03-01,5.065137802
1984-04-01,4.402511976
1984-05-01,3.652220402
1984-06-01,3.489047281
1984-07-01,3.199042245
1984-08-01,3.057523545
1984-09-01,2.991515946
1984-10-01,3.032212031
1984-11-01,2.876586614
1984-12-01,2.658039155
1985-01-01,2.093765818
1985-02-01,1.926877371
1985-03-01,2.206840487
1985-04-01,2.128508252
1985-05-01,1.748399119
1985-06-01,1.774438713
1985-07-01,1.573371992
1985-08-01,0.976211567
1985-09-01,0.936112407
1985-10-01,0.704736503
1985-11-01,1.29265699
1985-12-01,2.035315845
