date,STICKCPIM157SFRBATL
1984-11-01,0.3241409
1984-12-01,0.394948561
1985-01-01,0.238356522
1985-02-01,0.533108278
1985-03-01,0.4022883
1985-04-01,0.318293322
1985-05-01,0.539609187
1985-06-01,0.394957927
1985-07-01,0.322022256
1985-08-01,0.439696381
1985-09-01,0.293416746
1985-10-01,0.506039361
1985-11-01,0.540165314
1985-12-01,0.26564105
1986-01-01,0.485915847
1986-02-01,0.363157969
1986-03-01,0.486184005
1986-04-01,0.446986519
1986-05-01,0.262271139
1986-06-01,0.39983915
1986-07-01,0.277805222
1986-08-01,0.30224858
1986-09-01,0.387520925
1986-10-01,0.413301526
1986-11-01,0.298769616
1986-12-01,0.353086247
1987-01-01,0.365527854
1987-02-01,0.320041763
1987-03-01,0.330271274
1987-04-01,0.501604753
1987-05-01,0.299905328
1987-06-01,0.183722479
1987-07-01,0.28725138
1987-08-01,0.408674572
1987-09-01,0.406107389
1987-10-01,0.462793437
1987-11-01,0.265813313
1987-12-01,0.310885482
1988-01-01,0.409132892
1988-02-01,0.340838416
1988-03-01,0.402276124
1988-04-01,0.472394666
1988-05-01,0.341171824
1988-06-01,0.399880311
1988-07-01,0.32617327
1988-08-01,0.390490717
1988-09-01,0.444250801
1988-10-01,0.370859922
1988-11-01,0.377315887
1988-12-01,0.359139333
1989-01-01,0.392141483
1989-02-01,0.374437218
1989-03-01,0.364862512
1989-04-01,0.356325717
1989-05-01,0.47324273
1989-06-01,0.38886242
1989-07-01,0.450148257
1989-08-01,0.353754745
1989-09-01,0.301860446
1989-10-01,0.486088786
1989-11-01,0.382093319
1989-12-01,0.386083836
1990-01-01,0.446444742
1990-02-01,0.392597
1990-03-01,0.618122979
1990-04-01,0.431721537
1990-05-01,0.382620197
1990-06-01,0.561649231
1990-07-01,0.559422948
1990-08-01,0.625444933
1990-09-01,0.356662373
1990-10-01,0.376838789
1990-11-01,0.276368822
1990-12-01,0.355966241
1991-01-01,0.661936302
1991-02-01,0.464029119
1991-03-01,0.248461134
1991-04-01,0.255541059
1991-05-01,0.319737337
1991-06-01,0.307838385
1991-07-01,0.374448398
1991-08-01,0.345836002
1991-09-01,0.396628559
1991-10-01,0.222431254
1991-11-01,0.30925923
1991-12-01,0.344373923
1992-01-01,0.311958427
1992-02-01,0.236286866
1992-03-01,0.347860825
1992-04-01,0.307105521
1992-05-01,0.183411635
1992-06-01,0.241104598
1992-07-01,0.267522091
1992-08-01,0.211428015
1992-09-01,0.152842168
1992-10-01,0.46334779
1992-11-01,0.31187028
1992-12-01,0.200105721
1993-01-01,0.362618304
1993-02-01,0.258514901
1993-03-01,0.145188518
1993-04-01,0.3781831
1993-05-01,0.287698577
1993-06-01,0.278625769
1993-07-01,0.14566629
1993-08-01,0.288838958
1993-09-01,0.258343122
1993-10-01,0.281843343
1993-11-01,0.31869256
1993-12-01,0.303215491
1994-01-01,0.202708057
1994-02-01,0.281270745
1994-03-01,0.279877427
1994-04-01,0.190094817
1994-05-01,0.177794592
1994-06-01,0.247420809
1994-07-01,0.173550867
1994-08-01,0.351817961
1994-09-01,0.217228635
1994-10-01,0.202334758
1994-11-01,0.305067723
1994-12-01,0.10889129
1995-01-01,0.413281043
1995-02-01,0.27436069
1995-03-01,0.343571966
1995-04-01,0.309228645
1995-05-01,0.229805952
1995-06-01,0.225807005
1995-07-01,0.23219809
1995-08-01,0.237186244
1995-09-01,0.306829137
1995-10-01,0.313667474
1995-11-01,0.217344459
1995-12-01,0.101356777
1996-01-01,0.327054563
1996-02-01,0.275006938
1996-03-01,0.222659133
1996-04-01,0.208615737
1996-05-01,0.272202761
1996-06-01,0.237378143
1996-07-01,0.276597949
1996-08-01,0.225909378
1996-09-01,0.30832047
1996-10-01,0.229675277
1996-11-01,0.262242389
1996-12-01,0.180977884
1997-01-01,0.203765355
1997-02-01,0.174247193
1997-03-01,0.267144082
1997-04-01,0.243285257
1997-05-01,0.219865405
1997-06-01,0.196241201
1997-07-01,0.212069508
1997-08-01,0.13797809
1997-09-01,0.208316704
1997-10-01,0.271779629
1997-11-01,0.193432375
1997-12-01,0.248072509
1998-01-01,0.24299
1998-02-01,0.19197
1998-03-01,0.24547
1998-04-01,0.21983
1998-05-01,0.20516
1998-06-01,0.18008
1998-07-01,0.20541
1998-08-01,0.16762
1998-09-01,0.18748
1998-10-01,0.2107
1998-11-01,0.18038
1998-12-01,0.17337
1999-01-01,0.20831
1999-02-01,0.13513
1999-03-01,0.17725
1999-04-01,0.21146
1999-05-01,0.12968
1999-06-01,0.09871
1999-07-01,0.2479
1999-08-01,0.15958
1999-09-01,0.14397
1999-10-01,0.19766
1999-11-01,0.27019
1999-12-01,0.18711
2000-01-01,0.35406
2000-02-01,0.17475
2000-03-01,0.26939
2000-04-01,0.13823
2000-05-01,0.26353
2000-06-01,0.24274
2000-07-01,0.26064
2000-08-01,0.2968
2000-09-01,0.17309
2000-10-01,0.21727
2000-11-01,0.21436
2000-12-01,0.27684
2001-01-01,0.28204
2001-02-01,0.26208
2001-03-01,0.25981
2001-04-01,0.26265
2001-05-01,0.25971
2001-06-01,0.36289
2001-07-01,0.26438
2001-08-01,0.34349
2001-09-01,0.29135
2001-10-01,0.30965
2001-11-01,0.32105
2001-12-01,0.23111
2002-01-01,0.26637
2002-02-01,0.24798
2002-03-01,0.1859
2002-04-01,0.24491
2002-05-01,0.24702
2002-06-01,0.1808
2002-07-01,0.27026
2002-08-01,0.22639
2002-09-01,0.18028
2002-10-01,0.22913
2002-11-01,0.22089
2002-12-01,0.20771
2003-01-01,0.22336
2003-02-01,0.17869
2003-03-01,0.13397
2003-04-01,0.09424
2003-05-01,0.14769
2003-06-01,0.10361
2003-07-01,0.24554
2003-08-01,0.15886
2003-09-01,0.19389
2003-10-01,0.20961
2003-11-01,0.12676
2003-12-01,0.17251
2004-01-01,0.24207
2004-02-01,0.24542
2004-03-01,0.21358
2004-04-01,0.22361
2004-05-01,0.13255
2004-06-01,0.22509
2004-07-01,0.16093
2004-08-01,0.17189
2004-09-01,0.19293
2004-10-01,0.20564
2004-11-01,0.16878
2004-12-01,0.16961
2005-01-01,0.25642
2005-02-01,0.22074
2005-03-01,0.17368
2005-04-01,0.21084
2005-05-01,0.23434
2005-06-01,0.09654
2005-07-01,0.23117
2005-08-01,0.13822
2005-09-01,0.24793
