date,FLEXCPIM157SFRBATL
1987-04-01,0.306026133
1987-05-01,0.312034131
1987-06-01,0.779253438
1987-07-01,0.244956872
1987-08-01,0.576507343
1987-09-01,0.224904878
1987-10-01,-0.025066552
1987-11-01,0.263540667
1987-12-01,-0.015735871
1988-01-01,0.127336411
1988-02-01,-0.212772095
1988-03-01,0.149397035
1988-04-01,0.645873135
1988-05-01,0.125589378
1988-06-01,0.504784062
1988-07-01,0.775024921
1988-08-01,0.281083999
1988-09-01,0.583528116
1988-10-01,0.260393963
1988-11-01,0.07778101
1988-12-01,0.230173935
1989-01-01,0.628162018
1989-02-01,0.309460712
1989-03-01,0.714696823
1989-04-01,1.495803194
1989-05-01,0.557143662
1989-06-01,0.013060683
1989-07-01,0.081367528
1989-08-01,-0.552815088
1989-09-01,-0.050825233
1989-10-01,0.553949536
1989-11-01,0.198666749
1989-12-01,0.355834867
1990-01-01,1.962241674
1990-02-01,0.432515891
1990-03-01,0.053950498
1990-04-01,-0.147962627
1990-05-01,-0.175115214
1990-06-01,0.603177157
1990-07-01,0.272965379
1990-08-01,1.265881256
1990-09-01,1.431797102
1990-10-01,1.240595919
1990-11-01,0.254282044
1990-12-01,0.28904357
1991-01-01,-0.104335893
1991-02-01,-0.747836669
1991-03-01,-0.54508931
1991-04-01,0.224987919
1991-05-01,0.466459013
1991-06-01,0.139529352
1991-07-01,-0.225573838
1991-08-01,0.055269969
1991-09-01,0.141650205
1991-10-01,0.003089098
1991-11-01,0.612209421
1991-12-01,0.309899805
1992-01-01,-0.472388521
1992-02-01,0.150731698
1992-03-01,0.266396792
1992-04-01,-0.001417722
1992-05-01,0.352523831
1992-06-01,0.527602615
1992-07-01,0.169378978
1992-08-01,0.35542441
1992-09-01,0.297023088
1992-10-01,0.250505343
1992-11-01,0.165468626
1992-12-01,0.172548676
1993-01-01,0.200884719
1993-02-01,0.144685161
1993-03-01,0.156278597
1993-04-01,0.258858158
1993-05-01,0.263536654
1993-06-01,-0.298775679
1993-07-01,-0.046735388
1993-08-01,0.199437319
1993-09-01,-0.297667947
1993-10-01,0.81133533
1993-11-01,0.023181642
1993-12-01,-0.01610005
1994-01-01,-0.221719449
1994-02-01,0.131969347
1994-03-01,0.091408013
1994-04-01,-0.039916129
1994-05-01,0.237315128
1994-06-01,0.453341457
1994-07-01,0.585138969
1994-08-01,0.641681018
1994-09-01,0.037715878
1994-10-01,-0.103677101
1994-11-01,0.127118833
1994-12-01,0.393685039
1995-01-01,-0.011932483
1995-02-01,0.137133928
1995-03-01,-0.120473382
1995-04-01,0.422710457
1995-05-01,0.227822667
1995-06-01,0.256084966
1995-07-01,-0.210483761
1995-08-01,0.128029972
1995-09-01,-0.205241945
1995-10-01,0.250800486
1995-11-01,-0.21891961
1995-12-01,0.35708509
1996-01-01,0.764964074
1996-02-01,0.095431598
1996-03-01,0.520553766
1996-04-01,0.62795098
1996-05-01,0.207497631
1996-06-01,-0.049944563
1996-07-01,0.070236972
1996-08-01,-0.058504081
1996-09-01,0.370274761
1996-10-01,0.425546746
1996-11-01,0.449706645
1996-12-01,0.393565285
1997-01-01,0.207416106
1997-02-01,0.190696497
1997-03-01,-0.524637468
1997-04-01,-0.32335524
1997-05-01,-0.339683929
1997-06-01,0.172965571
1997-07-01,-0.129886392
1997-08-01,0.45135192
1997-09-01,0.392952174
1997-10-01,0.017793353
1997-11-01,-0.074800212
1997-12-01,-0.354642804
1998-01-01,-0.24283
1998-02-01,-0.39538
1998-03-01,-0.45114
1998-04-01,-0.09119
1998-05-01,0.43224
1998-06-01,0.05001
1998-07-01,0.16557
1998-08-01,0.15959
1998-09-01,-0.20724
1998-10-01,0.18853
1998-11-01,0.04612
1998-12-01,0.30774
1999-01-01,0.05912
1999-02-01,-0.34891
1999-03-01,-0.01462
1999-04-01,1.47419
1999-05-01,-0.07012
1999-06-01,-0.05405
1999-07-01,0.62663
1999-08-01,0.52552
1999-09-01,1.03793
1999-10-01,0.15323
1999-11-01,-0.13846
1999-12-01,0.45276
2000-01-01,0.19757
2000-02-01,0.8247
2000-03-01,1.30971
2000-04-01,-0.40779
2000-05-01,-0.07783
2000-06-01,1.31718
2000-07-01,0.36729
2000-08-01,-0.63017
2000-09-01,1.24529
2000-10-01,-0.03537
2000-11-01,0.183
2000-12-01,0.14057
2001-01-01,1.13734
2001-02-01,0.12114
2001-03-01,-0.33619
2001-04-01,0.08642
2001-05-01,1.01132
2001-06-01,-0.01183
2001-07-01,-1.20474
2001-08-01,-0.63217
2001-09-01,0.5655
2001-10-01,-1.58103
2001-11-01,-0.8006
2001-12-01,-0.73953
2002-01-01,-0.08217
2002-02-01,-0.01845
2002-03-01,0.53117
2002-04-01,0.93641
2002-05-01,-0.27095
2002-06-01,-0.11392
2002-07-01,0.08271
2002-08-01,0.39945
2002-09-01,0.08279
2002-10-01,0.23038
2002-11-01,0.0958
2002-12-01,-0.04196
2003-01-01,0.95297
