date,COREFLEXCPIM159SFRBATL
1968-01-01,5.53902212
1968-02-01,5.058702049
1968-03-01,5.162314226
1968-04-01,5.018852369
1968-05-01,4.928146765
1968-06-01,5.502739471
1968-07-01,5.10727105
1968-08-01,4.967331955
1968-09-01,4.743835245
1968-10-01,4.586558318
1968-11-01,4.7369259
1968-12-01,3.874526367
1969-01-01,3.41118351
1969-02-01,4.368157255
1969-03-01,5.208795699
1969-04-01,4.937961363
1969-05-01,4.41082577
1969-06-01,4.186536791
1969-07-01,4.252513867
1969-08-01,3.919381726
1969-09-01,3.583163574
1969-10-01,4.181351417
1969-11-01,4.33764542
1969-12-01,4.979772259
1970-01-01,4.941082796
1970-02-01,4.00025548
1970-03-01,2.882658071
1970-04-01,3.212373977
1970-05-01,4.017888095
1970-06-01,4.238840391
1970-07-01,4.001652795
1970-08-01,4.000694998
1970-09-01,4.455436068
1970-10-01,4.191394917
1970-11-01,4.402518304
1970-12-01,4.886822552
1971-01-01,4.994338417
1971-02-01,4.938554589
1971-03-01,4.936732819
1971-04-01,4.80582218
1971-05-01,4.863055726
1971-06-01,4.274906519
1971-07-01,4.324134033
1971-08-01,3.590368114
1971-09-01,2.979515822
1971-10-01,2.512802827
1971-11-01,1.713877074
1971-12-01,1.08996954
1972-01-01,1.45497682
1972-02-01,1.535780015
1972-03-01,1.720063059
1972-04-01,1.709291361
1972-05-01,1.488621218
1972-06-01,1.379912786
1972-07-01,1.076809152
1972-08-01,1.441355953
1972-09-01,2.332259824
1972-10-01,2.249265861
1972-11-01,2.678661689
1972-12-01,3.023842874
1973-01-01,2.515556851
1973-02-01,2.761167753
1973-03-01,3.153126057
1973-04-01,3.532571816
1973-05-01,3.51324987
1973-06-01,3.635559853
1973-07-01,3.644759385
1973-08-01,3.908451401
1973-09-01,3.246392246
1973-10-01,3.191942509
1973-11-01,2.923842143
1973-12-01,2.618575727
1974-01-01,2.684329895
1974-02-01,2.679789792
1974-03-01,2.56297597
1974-04-01,2.891529157
1974-05-01,3.802503202
1974-06-01,5.10496143
1974-07-01,6.278249249
1974-08-01,8.031392099
1974-09-01,8.775943488
1974-10-01,9.898266033
1974-11-01,10.734222735
1974-12-01,10.853750365
1975-01-01,10.906818093
1975-02-01,10.764996237
1975-03-01,10.837559284
1975-04-01,9.76782199
1975-05-01,8.486156557
1975-06-01,7.212674063
1975-07-01,6.72387694
1975-08-01,5.251793686
1975-09-01,4.754373993
1975-10-01,4.09189985
1975-11-01,3.5359779
1975-12-01,3.798233579
1976-01-01,3.778986699
1976-02-01,4.001867697
1976-03-01,4.100765922
1976-04-01,4.824637788
1976-05-01,5.529153372
1976-06-01,5.700267518
1976-07-01,5.584357703
1976-08-01,5.837123589
1976-09-01,6.139003681
1976-10-01,6.226864241
1976-11-01,6.326931504
1976-12-01,6.509009251
1977-01-01,7.176665154
1977-02-01,7.116532507
1977-03-01,6.612086775
1977-04-01,6.113193882
1977-05-01,5.669706458
1977-06-01,5.360917427
1977-07-01,5.030461974
1977-08-01,4.225595824
1977-09-01,3.562241121
1977-10-01,3.44933429
1977-11-01,3.43859104
1977-12-01,2.99319801
1978-01-01,2.608826619
1978-02-01,1.927530948
1978-03-01,2.229970796
1978-04-01,2.603517329
1978-05-01,3.175279792
1978-06-01,3.943733287
1978-07-01,4.461110942
1978-08-01,5.247217814
1978-09-01,5.809959426
1978-10-01,6.193559308
1978-11-01,6.286499376
1978-12-01,6.421825831
1979-01-01,5.923939098
