date,STICKCPIM159SFRBATL
1968-01-01,3.70943441
1968-02-01,3.735894166
1968-03-01,4.181539868
1968-04-01,4.164715377
1968-05-01,4.130145354
1968-06-01,4.554602092
1968-07-01,4.734126836
1968-08-01,4.92760113
1968-09-01,4.924278877
1968-10-01,5.155907281
1968-11-01,5.323123178
1968-12-01,5.598764888
1969-01-01,5.603704062
1969-02-01,5.603690492
1969-03-01,5.930124406
1969-04-01,6.295591033
1969-05-01,6.541987813
1969-06-01,6.20412476
1969-07-01,6.22942492
1969-08-01,6.257812751
1969-09-01,6.659091568
1969-10-01,6.456018755
1969-11-01,6.388472733
1969-12-01,6.369847856
1970-01-01,6.595993605
1970-02-01,7.019485307
1970-03-01,6.997244273
1970-04-01,6.886393077
1970-05-01,7.00414322
1970-06-01,7.128579552
1970-07-01,6.989953419
1970-08-01,7.064779329
1970-09-01,6.99913979
1970-10-01,6.917290293
1970-11-01,7.125222179
1970-12-01,7.103998299
1971-01-01,6.853307141
1971-02-01,6.217873221
1971-03-01,5.467113581
1971-04-01,5.2242538
1971-05-01,4.989488807
1971-06-01,5.183262002
1971-07-01,5.102485521
1971-08-01,4.885740603
1971-09-01,4.664525604
1971-10-01,4.395622685
1971-11-01,4.000224748
1971-12-01,3.756697679
1972-01-01,3.724150622
1972-02-01,3.800431852
1972-03-01,4.009781868
1972-04-01,3.945867286
1972-05-01,3.828838852
1972-06-01,3.454154135
1972-07-01,3.442259572
1972-08-01,3.351950722
1972-09-01,3.139420811
1972-10-01,3.311847965
1972-11-01,3.268842952
1972-12-01,3.182627087
1973-01-01,2.921845803
1973-02-01,3.002639039
1973-03-01,3.055768004
1973-04-01,3.163945479
1973-05-01,3.389606833
1973-06-01,3.403815239
1973-07-01,3.354228709
1973-08-01,3.65371364
1973-09-01,4.359287887
1973-10-01,5.231078077
1973-11-01,5.464308777
1973-12-01,5.862822557
1974-01-01,6.385833414
1974-02-01,6.797380442
1974-03-01,7.258442941
1974-04-01,7.599856477
1974-05-01,8.116705625
1974-06-01,8.918407792
1974-07-01,9.809369389
1974-08-01,10.39630521
1974-09-01,10.728812903
1974-10-01,10.646381841
1974-11-01,10.977876308
1974-12-01,11.434455011
1975-01-01,11.614309483
1975-02-01,11.737895455
1975-03-01,11.528417031
1975-04-01,11.506870429
1975-05-01,10.750654957
1975-06-01,10.235887801
1975-07-01,9.555157976
1975-08-01,8.755090643
1975-09-01,8.38317769
1975-10-01,7.997352762
1975-11-01,7.973880373
1975-12-01,7.553218373
1976-01-01,7.468620097
1976-02-01,7.130384974
1976-03-01,7.100632006
1976-04-01,6.686373714
1976-05-01,6.811036437
1976-06-01,6.748749046
1976-07-01,6.969585181
1976-08-01,7.159930943
1976-09-01,6.934545187
1976-10-01,6.716523032
1976-11-01,6.442071953
1976-12-01,6.097272021
1977-01-01,5.944513784
1977-02-01,5.94502613
1977-03-01,6.006238603
1977-04-01,6.492566727
1977-05-01,6.691255363
1977-06-01,6.865148242
1977-07-01,6.831185237
1977-08-01,6.798624202
1977-09-01,6.821526343
1977-10-01,6.893996808
1977-11-01,6.970323634
1977-12-01,7.258848485
1978-01-01,7.302913001
1978-02-01,7.361610675
1978-03-01,7.469886887
1978-04-01,7.436613006
1978-05-01,7.647177012
1978-06-01,7.721344234
1978-07-01,7.948465573
1978-08-01,8.233762296
1978-09-01,8.618194124
1978-10-01,9.050575146
1978-11-01,9.222569417
1978-12-01,9.128293105
1979-01-01,9.175747497
1979-02-01,9.647750908
1979-03-01,9.771874954
1979-04-01,10.006093531
1979-05-01,10.183711318
1979-06-01,10.33091465
1979-07-01,10.53308996
1979-08-01,10.893194698
1979-09-01,10.9166216
1979-10-01,11.200165183
1979-11-01,11.801701896
1979-12-01,12.540973393
1980-01-01,13.202395949
1980-02-01,13.2656482
1980-03-01,13.900084823
